======================================================================
OPTIMAL PATH REPORT — ZOLDYCK CONTRACT BOARD
======================================================================

Day   1 | Yorknew        | ACCEPTED             | C01 Vugo Boldora @ Yorknew gold=5000
Day   1 | Yorknew        | ACCEPTED             | C15 Goz @ Yorknew gold=4500
Day   1 | Yorknew        | ACCEPTED             | C04 Lippo @ Zaban gold=4000
Day   1 | Yorknew        | ACCEPTED             | C07 Beans @ Dolle Harbor gold=3000
Day   1 | Yorknew        | ACCEPTED             | C13 Leorio Paradinight @ Zaban gold=2000
Day   3 | Yorknew        | COMPLETED            | C01 Vugo Boldora — earned 5000g
Day   3 | Yorknew        | ACCEPTED             | C02 Dalzollene @ Yorknew gold=8000
Day   7 | Yorknew        | COMPLETED            | C02 Dalzollene — earned 8000g (COMPLICATION: took longer)
Day   7 | Yorknew        | ACCEPTED             | C23 Squala @ Yorknew gold=5200
Day   9 | Yorknew        | COMPLETED            | C23 Squala — earned 5200g
Day   9 | Yorknew        | ABANDONED_TRAP       | C22 Kurapika — trap detected, tier 5 required, -1 rep
Day  11 | Yorknew        | COMPLETED            | C15 Goz — earned 4050g
Day  11 | Yorknew        | FAILED               | C13 Leorio Paradinight — missed deadline, -10% rep
Day  11 | Yorknew        | ACCEPTED             | C20 Geretta @ Yorknew gold=4800
Day  11 | Yorknew        | ACCEPTED             | C05 Satotz @ Zaban gold=6000
Day  11 | Yorknew        | ACCEPTED             | C18 Hanzo @ Dolle Harbor gold=8500
Day  13 | Yorknew        | COMPLETED            | C20 Geretta — earned 3840g
Day  13 | Yorknew        | FAILED               | C07 Beans — missed deadline, -10% rep
Day  13 | Yorknew        | ACCEPTED             | C03 Neon Nostrade @ Yorknew gold=12000
Day  13 | Yorknew        | ACCEPTED             | C09 Razor @ Masadora gold=15000
Day  17 | Yorknew        | COMPLETED            | C03 Neon Nostrade — earned 8400g
Day  17 | Yorknew        | ACCEPTED             | C11 Milluki Zoldyck @ Kukuroo gold=25000
Day  17 | Yorknew        | TRAVEL               | → Kukuroo (7 days)
Day  31 | Kukuroo        | COMPLETED            | C11 Milluki Zoldyck — earned 17500g
Day  31 | Kukuroo        | FAILED               | C04 Lippo — missed deadline, -10% rep
Day  31 | Kukuroo        | FAILED               | C05 Satotz — missed deadline, -10% rep
Day  31 | Kukuroo        | ACCEPTED             | C19 Bourbon @ Kukuroo gold=6500
Day  31 | Kukuroo        | ACCEPTED             | C10 Genthru @ Masadora gold=20000
Day  34 | Kukuroo        | COMPLETED            | C19 Bourbon — earned 3250g (COMPLICATION: took longer)
Day  34 | Kukuroo        | FAILED               | C18 Hanzo — missed deadline, -10% rep
Day  34 | Kukuroo        | TRAVEL               | → Masadora (4 days)
Day  44 | Masadora       | COMPLETED            | C10 Genthru — earned 7999g
Day  44 | Masadora       | ACCEPTED             | C25 Killua Zoldyck @ Kukuroo gold=50000
Day  44 | Masadora       | TRAVEL               | → Kukuroo (4 days)
Day  63 | Kukuroo        | COMPLETED            | C25 Killua Zoldyck — earned 19999g (COMPLICATION: took longer)
Day  63 | Kukuroo        | FAILED               | C09 Razor — missed deadline, -10% rep
Day  63 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  64 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  65 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  66 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  67 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  68 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  69 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  70 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  71 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  72 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  73 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  74 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  75 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  76 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  77 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  78 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  79 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  80 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  81 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  82 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  83 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  84 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  85 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  86 | Kukuroo        | IDLE                 | No reachable contracts — scouting
